Num. samples,2,4,6,8,10,12,14,16,18,20,30,40,50,60,70,80,90,100
100,-0.18975,-0.06635,-0.0395,-0.028914286,-0.022167778,-0.018120455,-0.015167582,-0.013175417,-0.011766667,-0.010373158,-0.006698046,-0.004956474,-0.003930041,-0.003303136,-0.002804161,-0.002440491,-0.002167216,-0.00194996
200,-0.12345,-0.041983333,-0.025196667,-0.017328571,-0.013887778,-0.011420455,-0.00973956,-0.00840375,-0.007473856,-0.006687895,-0.00429069,-0.003252244,-0.002599224,-0.002162062,-0.001861905,-0.001626598,-0.001439101,-0.001283657
300,-0.1088,-0.032783333,-0.01964,-0.013841071,-0.011091111,-0.008844697,-0.007422527,-0.00662875,-0.005815033,-0.005130789,-0.003495747,-0.002571154,-0.002025633,-0.001673305,-0.001434099,-0.001268892,-0.001133308,-0.00101804
400,-0.0828,-0.0287,-0.016836667,-0.012125,-0.009443333,-0.007716667,-0.006565385,-0.005683333,-0.004984967,-0.004551053,-0.002934943,-0.002201346,-0.001782122,-0.001467514,-0.001247288,-0.00108894,-0.000970562,-0.000873818
500,-0.08285,-0.025575,-0.014393333,-0.011248214,-0.009053333,-0.007021212,-0.005964286,-0.005126667,-0.00458268,-0.003859474,-0.002654598,-0.002010128,-0.001563102,-0.001297316,-0.001123313,-0.000970965,-0.000866542,-0.000772747
600,-0.06605,-0.022975,-0.013883333,-0.010175,-0.0077,-0.006359091,-0.005394505,-0.004694167,-0.004210458,-0.003673158,-0.002456322,-0.001787885,-0.001445429,-0.001196751,-0.001012547,-0.000878972,-0.000788664,-0.000706475
700,-0.06465,-0.022133333,-0.01296,-0.009783929,-0.00696,-0.005882576,-0.004921429,-0.004415833,-0.00385,-0.003433947,-0.002243678,-0.001658654,-0.001329347,-0.001087514,-0.00094147,-0.000831282,-0.000734507,-0.000658919
800,-0.06055,-0.020166667,-0.011863333,-0.008667857,-0.006604444,-0.005356818,-0.004612637,-0.004014167,-0.003535621,-0.003247895,-0.002081609,-0.001551987,-0.001224,-0.001025932,-0.000873375,-0.00075894,-0.000682085,-0.000616101
900,-0.0487,-0.019283333,-0.011526667,-0.007757143,-0.006362222,-0.005212121,-0.004464286,-0.003777917,-0.00332549,-0.003027632,-0.001937471,-0.001464038,-0.001171673,-0.000969605,-0.000831346,-0.000726883,-0.000640599,-0.000573333
1000,-0.05595,-0.018241667,-0.010553333,-0.007782143,-0.006183333,-0.004869697,-0.00425,-0.00358125,-0.003180065,-0.002861579,-0.001857011,-0.001383846,-0.001107306,-0.000919859,-0.000787723,-0.000688877,-0.000611935,-0.000548697
2000,-0.03575,-0.012508333,-0.007796667,-0.005332143,-0.004165556,-0.003375,-0.002822527,-0.002450833,-0.00215,-0.00198,-0.001295517,-0.000952756,-0.000760898,-0.00063178,-0.00053619,-0.000467658,-0.000415506,-0.00037404
3000,-0.03085,-0.009558333,-0.005746667,-0.004169643,-0.003335556,-0.002661364,-0.00230293,-0.001969236,-0.001764379,-0.001561096,-0.00103931,-0.000772799,-0.000616599,-0.000507928,-0.000432008,-0.000380786,-0.000337915,-0.000306749
4000,-0.0261,-0.010606944,-0.006064444,-0.004485119,-0.00315,-0.002713005,-0.002270238,-0.001947222,-0.001719935,-0.001617456,-0.000976418,-0.000762158,-0.000611197,-0.000490909,-0.00041941,-0.000366461,-0.00032686,-0.000293032
5000,-0.03365,-0.008645833,-0.005168333,-0.003971726,-0.003165926,-0.002504798,-0.0022,-0.001922083,-0.001677233,-0.001459079,-0.000956839,-0.000709754,-0.000569939,-0.000477288,-0.000406153,-0.000352751,-0.000308593,-0.000277958
6000,-0.022975,-0.009205556,-0.005083333,-0.003452679,-0.002974259,-0.002460101,-0.002125183,-0.001844583,-0.001592048,-0.001395789,-0.000931149,-0.000708942,-0.000553762,-0.000445108,-0.000381518,-0.000339114,-0.000299032,-0.000269025
7000,-0.024941667,-0.008323611,-0.005266111,-0.003682738,-0.003186481,-0.00252399,-0.0019913,-0.001676181,-0.001624673,-0.001404254,-0.000899272,-0.000674487,-0.000521388,-0.000443056,-0.000389037,-0.000335654,-0.000286182,-0.000256209
8000,-0.026225,-0.008563889,-0.004981667,-0.004091667,-0.003069074,-0.002423232,-0.002122344,-0.001669722,-0.001550708,-0.001442895,-0.000876341,-0.000665427,-0.000535279,-0.000433178,-0.000370569,-0.000329718,-0.00028614,-0.000257941
9000,-0.0253,-0.009013889,-0.005206667,-0.003682738,-0.002824074,-0.002220455,-0.001959615,-0.001749028,-0.001435621,-0.001305439,-0.000818391,-0.000626154,-0.000493116,-0.000418366,-0.000339438,-0.000287877,-0.000253585,-0.000226707
10000,-0.023225,-0.007066667,-0.004675,-0.003207143,-0.00243,-0.001987879,-0.001851282,-0.001453681,-0.001310784,-0.001165789,-0.000768084,-0.000563259,-0.000434551,-0.000360395,-0.000298344,-0.000262321,-0.00023011,-0.000198838
12000,-0.020516667,-0.007873611,-0.004706667,-0.003034821,-0.002470185,-0.002027146,-0.001630586,-0.001515486,-0.00128317,-0.001176184,-0.000762529,-0.000520694,-0.000395503,-0.000319845,-0.000266025,-0.000218972,-0.000186298,-0.00015984
14000,-0.022791667,-0.007631944,-0.004917222,-0.003240774,-0.002292037,-0.001862753,-0.001503846,-0.001299722,-0.001071732,-0.000982412,-0.000626724,-0.000432885,-0.000313531,-0.000232575,-0.000191056,-0.000142851,-0.000112615,-8.79E-05
16000,-0.025033333,-0.006706944,-0.003896667,-0.002939286,-0.002137778,-0.001786742,-0.001488004,-0.001281458,-0.001000163,-0.000962325,-0.000557471,-0.000346432,-0.000232429,-0.00015395,-9.73E-05,-7.26E-05,-3.55E-05,-6.67E-06
18000,-0.019841667,-0.006722222,-0.003947778,-0.002734821,-0.002131296,-0.001709975,-0.001310623,-0.001062917,-0.000939161,-0.000779605,-0.00045477,-0.000235203,-0.000140844,-5.60E-05,-8.76E-06,3.71E-05,5.44E-05,8.08E-05
20000,-0.021225,-0.005726389,-0.003151667,-0.00245506,-0.001914815,-0.001451136,-0.001120971,-0.000936181,-0.000830828,-0.000681798,-0.000316284,-0.000134391,-2.05E-05,3.53E-05,8.35E-05,0.000134056,0.00016253,0.000193508
